price,managed_fba_stock_level,weekday,quarter,is_holiday,diff_price_comp_1,ratio_price_comp_1,diff_price_comp_2,ratio_price_comp_2,storage_loss,avg_unitsordered_7days,avg_price_7days,unitsordered
29.89,1294,0,4,0,0.1,1.003345601,11.5,1.384744062,0.916666667,16.71428571,29.89,16
29.99,1296,1,4,0,0,1,11.4,1.380126709,-0.125,14.71428571,29.91857143,17
29.89,1289,2,4,0,0.1,1.003345601,11.5,1.384744062,0.411764706,16.71428571,29.93285714,32
29.89,1274,3,4,0,0.1,1.003345601,11.5,1.384744062,0.46875,18.57142857,29.91857143,26
29.89,1260,4,4,0,0.1,1.003345601,11.5,1.384744062,0.538461538,19.57142857,29.93285714,19
29.99,1252,5,4,0,0,1,11.4,1.380126709,0.421052632,22.42857143,29.93285714,23
29.79,1227,6,1,0,0.2,1.006713662,11.6,1.389392414,1.086956522,19.42857143,29.90428571,3
29.89,1221,0,1,0,0.1,1.003345601,11.5,1.384744062,2,20.42857143,29.90428571,23
29.59,1221,1,1,0,0.4,1.01351808,11.8,1.398783373,0,24.28571429,29.84714286,44
29.89,1196,2,1,0,0.1,1.003345601,11.5,1.384744062,0.568181818,27.14285714,29.84714286,52
28.89,1153,3,1,0,1.1,1.038075459,12.5,1.432675666,0.826923077,27.85714286,29.70428571,31
29.59,1720,4,1,0,0.4,1.01351808,11.8,1.398783373,-18.29032258,29.28571429,29.66142857,29
29.99,1636,6,1,0,0,1,11.4,1.380126709,2.896551724,29.71428571,29.66142857,26
29.89,1622,0,1,0,0.1,1.003345601,11.5,1.384744062,0.538461538,36.14285714,29.67571429,48
29.79,1567,1,1,0,0.2,1.006713662,11.6,1.389392414,1.145833333,35.85714286,29.66142857,21
29.59,1514,2,1,0,0.4,1.01351808,11.8,1.398783373,2.523809524,33.28571429,29.66142857,26
29.89,1491,3,1,0,0.1,1.003345601,11.5,1.384744062,0.884615385,31.14285714,29.66142857,37
28.89,1461,4,1,0,1.1,1.038075459,12.5,1.432675666,0.810810811,31.14285714,29.66142857,31
29.79,1437,5,1,0,0.2,1.006713662,11.6,1.389392414,0.774193548,27.85714286,29.69,6
29.99,1429,6,1,0,0,1,11.4,1.380126709,1.333333333,24.71428571,29.69,4
29.89,1418,0,1,0,0.1,1.003345601,11.5,1.384744062,2.75,22.28571429,29.69,31
29.69,1398,1,1,0,0.3,1.010104412,11.7,1.394072078,0.64516129,23.85714286,29.67571429,32
29.89,1379,2,1,0,0.1,1.003345601,11.5,1.384744062,0.59375,23.71428571,29.71857143,25
28.99,1365,3,1,0,1,1.034494653,12.4,1.427733701,0.56,23.42857143,29.59,35
27.39,1337,4,1,0,2.6,1.094925155,31.42,2.147133991,0.8,20.71428571,29.37571429,12
29.99,1270,5,1,0,0,1,28.82,1.960986996,5.583333333,23.57142857,29.40428571,26
