comp_1_price,comp_2_price,managed_fba_stock_level,weekday,quarter,is_holiday,diff_price_comp_1,ratio_price_comp_1,diff_price_comp_2,ratio_price_comp_2,previous_stock,previous_unitsordered,storage_loss,avg_unitsordered_7days,avg_price_7days,adspend
30.99,41.39,1389,5,4,0,1.1,1.036801606,11.5,1.384744062,1404,28,0.535714286,24,29.87571429,1
30.99,41.39,1593,6,4,0,1,1.033344448,11.4,1.380126709,1389,9,-22.66666667,23.85714286,29.87571429,1
30.99,41.39,1582,0,4,0,1.2,1.040281974,11.6,1.389392414,1593,3,3.666666667,23,29.86142857,45
30.99,41.39,1582,1,4,0,1.1,1.036801606,11.5,1.384744062,1582,29,0,22,29.86142857,37
30.99,41.39,1582,2,4,0,7,1.291788245,17.4,1.725302209,1582,26,0,18.71428571,29.01857143,28
30.99,41.39,1497,3,4,0,1,1.033344448,11.4,1.380126709,1582,5,17,15.85714286,29.04714286,0
30.99,41.39,1486,4,4,0,1.2,1.040281974,11.6,1.389392414,1497,11,1,13.14285714,29.04714286,3
30.99,41.39,1486,5,4,0,1,1.033344448,11.4,1.380126709,1486,9,0,13,29.06142857,0
30.99,41.39,1486,6,4,0,1,1.033344448,11.4,1.380126709,1486,8,0,16.71428571,29.06142857,2
29.99,41.39,1486,0,4,0,1.3,1.045311955,12.7,1.442662949,1486,29,0,17.85714286,28.90428571,42
29.99,57.2,1486,1,4,0,0.3,1.010104412,27.51,1.926574604,1486,37,0,20.42857143,28.87571429,75
29.99,57.2,1401,2,4,0,0.1,1.003345601,27.31,1.913683506,1486,44,1.931818182,24,29.71857143,56
29.99,57.2,1387,3,4,0,0.3,1.010104412,27.51,1.926574604,1401,30,0.466666667,30.57142857,29.67571429,44
29.99,57.2,1355,4,4,0,1.2,1.041681139,28.41,1.986800973,1387,57,0.561403509,33.42857143,29.53285714,32
29.99,57.2,1355,5,4,0,0.1,1.003345601,27.31,1.913683506,1355,29,0,34,29.51857143,4
29.99,57.2,1362,6,4,0,0,1,27.21,1.907302434,1355,12,-0.583333333,30.42857143,29.51857143,3
29.99,57.2,1346,0,4,0,0.7,1.023898942,27.91,1.952884944,1362,4,4,35.14285714,29.60428571,56
29.99,41.39,1328,1,4,0,1,1.034494653,12.4,1.427733701,1346,70,0.257142857,33.57142857,29.50428571,40
29.99,41.39,1301,2,4,0,0.2,1.006713662,11.6,1.389392414,1328,33,0.818181818,34.71428571,29.49,74
29.99,41.39,1301,3,4,0,0.2,1.006713662,11.6,1.389392414,1301,38,0,29.85714286,29.50428571,14
29.99,41.39,1301,4,4,0,0.5,1.0169549,11.9,1.403526619,1301,23,0,30,29.60428571,30
